АВС/ DEFОт;АВС/ DEFДо;Оператор;Регион
9027480000;9027499999;Средневолжская межрегиональная ассоциация радиотелекоммуникационных систем;Самарская область
9027550000;9027599999;Енисейтелеком;Кемеровская область
9027600000;9027699999;Байкалвестком;Иркутская область
9027800000;9027899999;Нижегородская сотовая связь;Нижегородская область
9027900000;9028099999;Ростелеком;Пермский край
9028110000;9028119999;Мобиком-Киров;Киров |Калужская область
9028120000;9028139999;Ростелеком;Тюменская область
9028140000;9028149999;Ростелеком;Ханты - Мансийский-Югра автономный округ |Тюменская область
9028150000;9028159999;Ростелеком;Тюменская область
9028160000;9028169999;Ростелеком;Ямало - Ненецкий автономный округ |Тюменская область
9028170000;9028179999;Ростелеком;Ханты - Мансийский-Югра автономный округ |Тюменская область
9028180000;9028189999;Ростелеком;Тюменская область
9028190000;9028199999;Ростелеком;Ханты - Мансийский-Югра автономный округ |Тюменская область
9028200000;9028209999;Ростелеком;Ямало - Ненецкий автономный округ |Тюменская область
9028240000;9028249999;Ростелеком;Ямало - Ненецкий автономный округ |Тюменская область
9028250000;9028259999;Ростелеком;Ханты - Мансийский-Югра автономный округ |Тюменская область
9028260000;9028279999;Ростелеком;Ямало - Ненецкий автономный округ |Тюменская область
9028280000;9028289999;Ростелеком;Ханты - Мансийский-Югра автономный округ |Тюменская область
9028290000;9028299999;Ростелеком;Ямало - Ненецкий автономный округ |Тюменская область
9028300000;9028399999;Ростелеком;Пермский край
